stock,date,value
google,2019-09-30,1219
google,2019-10-01,1205.099976
google,2019-10-02,1176.630005
google,2019-10-03,1187.829956
google,2019-10-04,1209
google,2019-10-07,1207.680054
google,2019-10-08,1189.130005
google,2019-10-09,1202.310059
google,2019-10-10,1208.670044
google,2019-10-11,1215.449951
google,2019-10-14,1217.140015
google,2019-10-15,1243.01001
google,2019-10-16,1243.640015
google,2019-10-17,1253.069946
google,2019-10-18,1245.48999
google,2019-10-21,1246.150024
google,2019-10-22,1242.800049
google,2019-10-23,1259.130005
google,2019-10-24,1260.98999
google,2019-10-25,1265.130005
google,2019-10-28,1290
google,2019-10-29,1262.619995
google,2019-10-30,1261.290039
google,2019-10-31,1260.109985
google,2019-11-01,1273.73999
google,2019-11-04,1291.369995
google,2019-11-05,1292.030029
google,2019-11-06,1291.800049
google,2019-11-07,1308.859985
google,2019-11-08,1311.369995
google,2019-11-11,1299.189941
google,2019-11-12,1298.800049
google,2019-11-13,1298
google,2019-11-14,1311.459961
google,2019-11-15,1334.869995
google,2019-11-18,1320.699951
google,2019-11-19,1315.459961
google,2019-11-20,1303.050049
google,2019-11-21,1301.349976
google,2019-11-22,1295.339966
google,2019-11-25,1306.689941
google,2019-11-26,1313.550049
google,2019-11-27,1312.98999
google,2019-11-29,1304.959961
google,2019-12-02,1289.920044
google,2019-12-03,1295.280029
google,2019-12-04,1320.540039
google,2019-12-05,1328.130005
google,2019-12-06,1340.619995
google,2019-12-09,1343.560059
google,2019-12-10,1344.660034
google,2019-12-11,1345.02002
google,2019-12-12,1350.27002
google,2019-12-13,1347.829956
google,2019-12-16,1361.170044
google,2019-12-17,1355.119995
google,2019-12-18,1352.619995
google,2019-12-19,1356.040039
google,2019-12-20,1349.589966
google,2019-12-23,1348.839966
google,2019-12-24,1343.560059
google,2019-12-26,1360.400024
google,2019-12-27,1351.890015
google,2019-12-30,1336.140015
tesla,2019-01-02,310.119995
tesla,2019-01-03,300.359985
tesla,2019-01-04,317.690002
tesla,2019-01-07,334.959991
tesla,2019-01-08,335.350006
tesla,2019-01-09,338.529999
tesla,2019-01-10,344.970001
tesla,2019-01-11,347.26001
tesla,2019-01-14,334.399994
tesla,2019-01-15,344.429993
tesla,2019-01-16,346.049988
tesla,2019-01-17,347.309998
tesla,2019-01-18,302.26001
tesla,2019-01-22,298.920013
tesla,2019-01-23,287.589996
tesla,2019-01-24,291.51001
tesla,2019-01-25,297.040009
tesla,2019-01-28,296.380005
tesla,2019-01-29,297.459991
tesla,2019-01-30,308.769989
tesla,2019-01-31,307.019989
tesla,2019-02-01,312.209991
tesla,2019-02-04,312.890015
tesla,2019-02-05,321.350006
tesla,2019-02-06,317.220001
tesla,2019-02-07,307.51001
tesla,2019-02-08,305.799988
tesla,2019-02-11,312.839996
tesla,2019-02-12,311.809998
tesla,2019-02-13,308.170013
tesla,2019-02-14,303.769989
tesla,2019-02-15,307.880005
tesla,2019-02-19,305.640015
tesla,2019-02-20,302.559998
tesla,2019-02-21,291.230011
tesla,2019-02-22,294.709991
tesla,2019-02-25,298.769989
tesla,2019-02-26,297.859985
tesla,2019-02-27,314.73999
tesla,2019-02-28,319.880005
tesla,2019-03-01,294.790009
tesla,2019-03-04,285.359985
tesla,2019-03-05,276.540009
tesla,2019-03-06,276.23999
tesla,2019-03-07,276.589996
tesla,2019-03-08,284.140015
tesla,2019-03-11,290.920013
tesla,2019-03-12,283.359985
tesla,2019-03-13,288.959991
